ORDER,Name,Pixel_Val
1,Adams Humanities,0
2,Administration,214
3,Alumni Center,212
4,ARC,209
5,Arena Meeting Center,3
6,Art North,207
7,Art South,204
8,Arts and Letters,5
9,Astromony and Physics,201
10,Atkins Hall,199
11,Aztec Aquaplex,196
12,Aztec Mesa,7
13,Aztec Softball Field,194
14,Aztecs Shop Terrace,191
15,Bioscience Center,9
16,Logistical Services,189
17,Calpulli Center,186
18,Chapultepec Hall,11
19,Charles Hostler Hall,184
20,Chemical Sciences Labratory,181
21,Children's Center,13
22,Chill Plant,179
23,Cholula Community Center,176
24,College Square,15
25,Communication,173
26,Conrad Prebsy Aztec Student Union,171
27,Cuicacalli Hall,17
28,Dramatic Arts,168
29,East Commons,166
30,Education,19
31,Education and Business Administration,163
32,Engineering,161
33,Engineering & Interdisciplinary Sciences,21
34,ENS,158
35,ENS Annex,23
36,Extended Studies Center,156
37,Facilities Services,153
38,Faculty Staff Club,25
39,Fowler Athletics,150
40,Fraternity Row,148
41,Gateway Center,27
42,Geology Mathmatics and Computer Science,145
43,HA,29
44,Hardy Tower,143
45,Hepner Hall,140
46,International Student Center,31
47,Inustrial Technology,138
48,KPBS,135
49,Library Information & Access Dome,33
50,Life Sciences North,133
51,Life Sciences South,35
52,Little Theatre,130
53,Malcom A. Love Library,37
54,Manchester Hall,128
55,Maya Hall,125
56,Music,39
57,Nasatir Hall,122
58,NE 60,41
59,Non SDSU Structure,219
60,North Education,120
61,Olmeca Hall,117
62,Open Air Theatre,43
63,Peterson Gym,115
64,Physical Plant Boiler Shop,45
65,Physical Sciences,112
66,Physics,47
67,Piedra Del Sol Apartments,110
68,Professional Studies and Fine Arts,49
69,PS 1,107
70,PS 12,105
71,PS 3,51
72,PS 4,102
73,PS 6,53
74,PS 7,99
75,PS 14,55
76,Scripps Cottage,97
77,SDSU Bookstore,57
78,SDSU Garage,94
79,SDSU Transit Center,59
80,Speach Langage and Hearing Sciences,92
81,Storm Hall,61
82,Storm Hall West,89
83,Student Services East,63
84,Student Services West,87
85,Tacuba Hall,65
86,Tarastec,84
87,Tenocha Hall,67
88,Tepeyac Hall,82
89,The Grenada,221
90,The Pride Center,79
91,Toltec,223
92,Tony Gwynn Stadium,77
93,Tula Community Center,225
94,University Police,74
95,Unlabeled SDSU Structure,217
96,Viejas Arena,227
97,West Commons,71
98,Women's Resource Center,229
99,Zapotec,69
100,Zura Hall,231
